שם לקוח,מילה לאיתור,אחוז נכונות התאמה
אסותא מרכזים רפואים-רמת החייל,מרכזים רפואים,0.6
אסותא מרכזים רפואים-רמת החייל,בית חולים,0.5
אסותא מרכזים רפואים-רמת החייל,בי”ח,0.5
אסותא מרכזים רפואים-רמת החייל,רמת החייל,0.7
"אסם השקעות בע""מ-חולון-דגם חדש**",אוסם,0.6
"אסם השקעות בע""מ-חולון-דגם חדש**",אסם,0.8
"אסם השקעות בע""מ-חולון-דגם חדש**",השקעות,0.5
"אסם השקעות בע""מ-חולון-דגם חדש**",חולון,0.5
"אסם השקעות בע""מ-חולון-דגם חדש**",אסם השקעות,0.9
"אסם השקעות בע""מ-יוקנעם-דגם חדש**",אוסם,0.6
"אסם השקעות בע""מ-יוקנעם-דגם חדש**",אסם,0.8
"אסם השקעות בע""מ-יוקנעם-דגם חדש**",השקעות,0.5
"אסם השקעות בע""מ-יוקנעם-דגם חדש**",יוקנעם,0.5
"אסם השקעות בע""מ-יוקנעם-דגם חדש**",אסם השקעות,0.9
"אסם השקעות בע""מ-שדרות-דגם ישן**",אוסם,0.6
"אסם השקעות בע""מ-שדרות-דגם ישן**",אסם,0.8
"אסם השקעות בע""מ-שדרות-דגם ישן**",השקעות,0.5
"אסם השקעות בע""מ-שדרות-דגם ישן**",שדרות,0.5
"אסם השקעות בע""מ-שדרות-דגם ישן**",אסם השקעות,0.9
"אסם השקעות בע""מ-שדרות**",אוסם,0.6
"אסם השקעות בע""מ-שדרות**",אסם,0.8
"אסם השקעות בע""מ-שדרות**",השקעות,0.5
"אסם השקעות בע""מ-שדרות**",שדרות,0.5
"אסם השקעות בע""מ-שדרות**",אסם השקעות,0.9
"ארדע פלסט בע""מ",ארדע פלסט,1
"ארדע פלסט בע""מ",ארגע,0.8
"ארדע פלסט בע""מ",ארדע,0.9
"גלידת שטראוס בע""מ -עכו*יוניליוור",שטראוס,0.8
"גלידת שטראוס בע""מ -עכו*יוניליוור",שטראוס עכו,0.9
"גלידת שטראוס בע""מ -עכו*יוניליוור",גלידה,0.5
"גלידת שטראוס בע""מ -עכו*יוניליוור",גלידת שטראוס,0.8
"גלידת שטראוס בע""מ -עכו*יוניליוור",עכו,0.5
"גלידת שטראוס בע""מ -עכו*יוניליוור",שטרואס,0.8
"גלידת שטראוס בע""מ -עכו*יוניליוור",יוניליוור,0.95
"גני מבטחים בע""מ -ים המלח**ישן",גני מבטחים,1
"גני מבטחים בע""מ -ים המלח**ישן",גני ים המלח,1
"גני מבטחים בע""מ -ים המלח**ישן",ים המלח,0.6
"גני מבטחים בע""מ -ים המלח**ישן",גני,0.3
"גנרל מקרוויב ישראל בע""מ",גנרל,0.5
"גנרל מקרוויב ישראל בע""מ",גנרל מקרוויב,1
"גנרל מקרוויב ישראל בע""מ",גנרל מקרוביב,1
"גנרל מקרוויב ישראל בע""מ",מקרובייב,0.9
"גנרל מקרוויב ישראל בע""מ",ג’נרל,0.4
"גנרל מקרוויב ישראל בע""מ",גנאל,0.6
דוד אינטרקונטיננטל-קלאסיק הוטל**,קלאסיק הוטל,1
דוד אינטרקונטיננטל-קלאסיק הוטל**,קלאסיק,0.6
דוד אינטרקונטיננטל-קלאסיק הוטל**,דוד אינטר,0.7
דוד אינטרקונטיננטל-קלאסיק הוטל**,אינטרקונטיננטל,0.9
"דימר בע""מ- ד.ישן",דימר,1
"דימר בע""מ- ד.ישן",גימר,0.9
דן אכדיה-רשת דן **,דן,0.6
דן אכדיה-רשת דן **,דן אכדיה,1
דן אכדיה-רשת דן **,אכדיה,0.9
דן אכדיה-רשת דן **,דו,0.6
דן אכדיה-רשת דן **,מלון,0.6
המלך דוד-רשת דן **,המלך דוד,1
המלך דוד-רשת דן **,דן,0.6
המלך דוד-רשת דן **,דו,0.6
המלך דוד-רשת דן **,דוד,0.5
המלך דוד-רשת דן **,מלון,0.6
"הרודס מלונות ספא ונופש בע""מ **",הרודס,0.9
"הרודס מלונות ספא ונופש בע""מ **",מלון הרודס,1
"הרודס מלונות ספא ונופש בע""מ **",הרןדס,0.9
הריבוע הכחול-היפר היפר,,
"הרצליה מדיקל סנטר בע""מ-ישן",מדיקל סנטר,1
"הרצליה מדיקל סנטר בע""מ-ישן",מדיקל הרצליה,0.9
"הרצליה מדיקל סנטר בע""מ-ישן",מדיכל,0.7
"הרצליה מדיקל סנטר בע""מ-ישן",מכידל,0.6
"הרצליה מדיקל סנטר בע""מ-ישן",הרצליה סנטר,0.8
"הרצליה מדיקל סנטר בע""מ-ישן",מדיקל,0.8
ווייבלנגת' אנטרפרייז בעמ,אנטרפרייז,1
ווייבלנגת' אנטרפרייז בעמ,אנטרפקייז,0.7
ווייבלנגת' אנטרפרייז בעמ,אנטרפריז,0.9
ווייבלנגת' אנטרפרייז בעמ,וויבלנגת,1
ווייבלנגת' אנטרפרייז בעמ,אנטר,0.6
ווייבלנגת' אנטרפרייז בעמ,פרייז,0.4
ווייבלנגת' אנטרפרייז בעמ,פריז,0.3
זוגלובק 2000 שלומי **,זוגלובד,0.6
זוגלובק 2000 שלומי **,זוגלובק,0.8
זוגלובק 2000 שלומי **,זוגלובק שלומי,1
זוגלובק 2000 שלומי **,שלומי,0.3
"טבע ירושלים בע""מ ** טבליות",טבע,0.5
"טבע ירושלים בע""מ ** טבליות",טבע ים,0.8
"טבע ירושלים בע""מ ** טבליות",טבי,0.5
"טבע ירושלים בע""מ ** טבליות",טבע י-ם,0.9
"טבע ירושלים בע""מ ** טבליות",טבע ירושלים,1
"טבע ירושלים בע""מ ** טבליות",טבע תבליות,0.85
"טבע ירושלים בע""מ ** טבליות",תבליות,0.5
"טבע ירושלים בע""מ ** טבליות",תבליוץ,0.45
טבע-אביק/נתניה-מנהלת האתר **,טבע,0.5
טבע-אביק/נתניה-מנהלת האתר **,טבע נתניה,0.9
טבע-אביק/נתניה-מנהלת האתר **,טבי,0.5
טבע-אביק/נתניה-מנהלת האתר **,טבע מנהלת,0.85
טבע-אביק/נתניה-מנהלת האתר **,מנהלת,0.6
טבע-אביק/נתניה-מנהלת האתר **,מנהלץ,0.6
טבע-אביק/נתניה-מנהלת האתר **,אביק,0.8
טבע-אביק/נתניה-מנהלת האתר **,מנהלת אתר,0.7
"טידיקיי- למבדא בע""מ",t.d.k,1
"טידיקיי- למבדא בע""מ",tdk,0.9
"טידיקיי- למבדא בע""מ",TDK,1
"טידיקיי- למבדא בע""מ",טידיקי,0.9
"טידיקיי- למבדא בע""מ",טידיקיי,0.95
"טידיקיי- למבדא בע""מ",למבדא,0.9
"טידיקיי- למבדא בע""מ",למדא,0.7
"טידיקיי- למבדא בע""מ",למדר,0.5
יוניליוור ישראל בעמ בלובנד*- ישן,יוניליוור,1
יוניליוור ישראל בעמ בלובנד*- ישן,יוניליבר,0.9
יוניליוור ישראל בעמ בלובנד*- ישן,יוני,0.2
יוניליוור ישראל בעמ בלובנד*- ישן,בלובנד,0.8
יוניליוור ישראל בעמ בלובנד*- ישן,בלובנג,0.6
כנפי תחזוקה שותפות מוגבלת,כנפי תחזוקה,1
כנפי תחזוקה שותפות מוגבלת,כנפי,0.6
כנפי תחזוקה שותפות מוגבלת,תחזוקה,0.3
"כרמית תעשיות ממתקים בע""מ **",כרמית,0.8
"כרמית תעשיות ממתקים בע""מ **",כרמיץ,0.8
"כרמית תעשיות ממתקים בע""מ **",כרמיצ,0.6
"כרמית תעשיות ממתקים בע""מ **",ממתקים,0.6
"כרמית תעשיות ממתקים בע""מ **",ממצקים,0.5
"לוכסמבורג תעשיות בע""מ **",לוכסמבורג,1
"לוכסמבורג תעשיות בע""מ **",לוכס,0.8
"לוכסמבורג תעשיות בע""מ **",לוכעסמבורג,0.6
"לוריאל ישראל בע""מ- ד.ישן",לוריאל,0.9
"לוריאל ישראל בע""מ- ד.ישן",לוריאך,0.7
"לוריאל ישראל בע""מ- ד.ישן",לואירל,0.7
"מגן דוד אדום - החלפת דגם -עו""ד",מדא,0.9
"מגן דוד אדום - החלפת דגם -עו""ד",מד”א,1
"מגן דוד אדום - החלפת דגם -עו""ד",מגן דוד אדום,1
"מגן דוד אדום - החלפת דגם -עו""ד",מגן דוד,0.7
"מגן דוד אדום - החלפת דגם -עו""ד",עו”ד,0.2
"מגן דוד אדום - החלפת דגם -עו""ד",החלפת דגם,0.8
מוטורולה מעבדת דגמים,מוטורולה,0.9
מוטורולה מעבדת דגמים,מןטןרןלה,0.6
מוטורולה מעבדת דגמים,מעבדה,0.4
מוטורולה מעבדת דגמים,מעבדת דגמים,0.6
"מוסך אדיר 1992 בע""מ(עו""ד)",מוסך,0.6
"מוסך אדיר 1992 בע""מ(עו""ד)",מוסל,\
"מוסך אדיר 1992 בע""מ(עו""ד)",מוסך אדיר,0.9
"מחלבת משק צוריאל בע""מ-מחולה **",משק צוריאל,0.9
"מחלבת משק צוריאל בע""מ-מחולה **",מחלבת,0.7
"מחלבת משק צוריאל בע""מ-מחולה **",מחלבה,0.5
"מחלבת משק צוריאל בע""מ-מחולה **",מחלבת מחולה,0.7
"מחלבת משק צוריאל בע""מ-מחולה **",מחלבת צוריאל,0.9
"מחלבת משק צוריאל בע""מ-מחולה **",מחולה,0.6
מילודע שירותי תעשיות ביולוגיות**,מילודע,1
מילודע שירותי תעשיות ביולוגיות**,מילוגע,0.7
מילודע שירותי תעשיות ביולוגיות**,תעשיות בילוגיות,0.85
"מילוז (1989) בע""מ **",מילוז,1
"מילוז (1989) בע""מ **",מיילוז,0.9
"מילוז (1989) בע""מ **",מילוס,0.7
"מילוז (1989) בע""מ **",מיילוס,0.6
"מילועוף אינטגרצית פטם אגש""ח **",מילועוף,1
"מילועוף אינטגרצית פטם אגש""ח **",מילןעןף,0.7
"מילועוף אינטגרצית פטם אגש""ח **",מילויעוף,0.6
"מילועוף אינטגרצית פטם אגש""ח **",פטם,0.7
מכבי בתי מרקחת-אילת54 חולון-ישן,מכבי,0.9
מכבי בתי מרקחת-אילת54 חולון-ישן,בית מרקחת,0.9
מכבי בתי מרקחת-אילת54 חולון-ישן,בתי מרקחת,0.8
מכבי בתי מרקחת-אילת54 חולון-ישן,חולון,0.4
מכבי ש' בריאות-אשדוד ג'-ד.ישן,מכבי שירותי בריאות,1
מכבי ש' בריאות-אשדוד ג'-ד.ישן,מכבי ש’ בריאות,1
מכבי ש' בריאות-אשדוד ג'-ד.ישן,מכבי,0.9
מכבי ש' בריאות-אשדוד ג'-ד.ישן,מרפאת מכבי,1
מכבי ש' בריאות-אשדוד ג'-ד.ישן,מרפאה,0.6
מכבי ש' בריאות-אשדוד ג'-ד.ישן,קופ”ח,0.8
מכבי ש' בריאות-אשדוד ג'-ד.ישן,קופח,0.5
מכבי ש' בריאות-אשדוד ג'-ד.ישן,אשדוד,0.5
מכבי ש' בריאות-אשדוד ג'-ד.ישן,אשדוד ג,0.7
מכבי ש' בריאות-גבעת זאב-ד.ישן,מכבי שירותי בריאות,1
מכבי ש' בריאות-גבעת זאב-ד.ישן,מכבי ש’ בריאות,1
מכבי ש' בריאות-גבעת זאב-ד.ישן,מכבי,0.9
מכבי ש' בריאות-גבעת זאב-ד.ישן,מרפאת מכבי,1
מכבי ש' בריאות-גבעת זאב-ד.ישן,מרפאה,0.6
מכבי ש' בריאות-גבעת זאב-ד.ישן,קופ”ח,0.8
מכבי ש' בריאות-גבעת זאב-ד.ישן,קופח,0.5
מכבי ש' בריאות-גבעת זאב-ד.ישן,גבעת זאב,0.7
מכבי ש' בריאות-גבעת זאב-ד.ישן,ג’ זאב,0.7
מכבי ש' בריאות-יוקנעם -ד.ישן,מכבי שירותי בריאות,1
מכבי ש' בריאות-יוקנעם -ד.ישן,מכבי ש’ בריאות,1
מכבי ש' בריאות-יוקנעם -ד.ישן,מכבי,0.9
מכבי ש' בריאות-יוקנעם -ד.ישן,מרפאת מכבי,1
מכבי ש' בריאות-יוקנעם -ד.ישן,מרפאה,0.6
מכבי ש' בריאות-יוקנעם -ד.ישן,קופ”ח,0.8
מכבי ש' בריאות-יוקנעם -ד.ישן,קופח,0.5
מכבי ש' בריאות-יוקנעם -ד.ישן,יוקנעם,0.7
מכבי ש' בריאות-יוקנעם -ד.ישן,יןקנעם,0.6
מכבי ש' בריאות-כפר יסיף,מכבי שירותי בריאות,1
מכבי ש' בריאות-כפר יסיף,מכבי ש’ בריאות,1
מכבי ש' בריאות-כפר יסיף,מכבי,0.9
מכבי ש' בריאות-כפר יסיף,מרפאת מכבי,1
מכבי ש' בריאות-כפר יסיף,מרפאה,0.6
מכבי ש' בריאות-כפר יסיף,קופ”ח,0.8
מכבי ש' בריאות-כפר יסיף,קופח,0.5
מכבי ש' בריאות-כפר יסיף,כפר יסיף,0.7
מכבי ש' בריאות-כפר יסיף,כפר יוסף,0.4
מכבי ש' בריאות-כפר יסיף,כפר יוסוף,0.6
מכבי ש' בריאות-כפר יסיף,כ’ יסיף,0.7
מכבי ש' בריאות-כרמל- -ד.ישן,מכבי שירותי בריאות,1
מכבי ש' בריאות-כרמל- -ד.ישן,מכבי ש’ בריאות,1
מכבי ש' בריאות-כרמל- -ד.ישן,מכבי,0.9
מכבי ש' בריאות-כרמל- -ד.ישן,מרפאת מכבי,1
מכבי ש' בריאות-כרמל- -ד.ישן,מרפאה,0.6
מכבי ש' בריאות-כרמל- -ד.ישן,קופ”ח,0.8
מכבי ש' בריאות-כרמל- -ד.ישן,קופח,0.5
מכבי ש' בריאות-כרמל- -ד.ישן,כרמל,0.7
מכבי ש' בריאות-נהריה -ד.ישן,מכבי שירותי בריאות,1
מכבי ש' בריאות-נהריה -ד.ישן,מכבי ש’ בריאות,1
מכבי ש' בריאות-נהריה -ד.ישן,מכבי,0.9
מכבי ש' בריאות-נהריה -ד.ישן,מרפאת מכבי,1
מכבי ש' בריאות-נהריה -ד.ישן,מרפאה,0.6
מכבי ש' בריאות-נהריה -ד.ישן,קופ”ח,0.8
מכבי ש' בריאות-נהריה -ד.ישן,קופח,0.5
מכבי ש' בריאות-נהריה -ד.ישן,נהריה,0.7
מכבי ש' בריאות-נהריה -ד.ישן,נהאיה,0.5
מכבי ש' בריאות-רחובות מזרח-ד.ישן,מכבי שירותי בריאות,1
מכבי ש' בריאות-רחובות מזרח-ד.ישן,מכבי ש’ בריאות,1
מכבי ש' בריאות-רחובות מזרח-ד.ישן,מכבי,0.9
מכבי ש' בריאות-רחובות מזרח-ד.ישן,מרפאת מכבי,1
מכבי ש' בריאות-רחובות מזרח-ד.ישן,מרפאה,0.6
מכבי ש' בריאות-רחובות מזרח-ד.ישן,קופ”ח,0.8
מכבי ש' בריאות-רחובות מזרח-ד.ישן,קופח,0.5
מכבי ש' בריאות-רחובות מזרח-ד.ישן,רחובות,0.6
מכבי ש' בריאות-רחובות מזרח-ד.ישן,רחוהות,0.5
מכבי ש' בריאות-רמת גן,מכבי שירותי בריאות,1
מכבי ש' בריאות-רמת גן,מכבי ש’ בריאות,1
מכבי ש' בריאות-רמת גן,מכבי,0.9
מכבי ש' בריאות-רמת גן,מרפאת מכבי,1
מכבי ש' בריאות-רמת גן,מרפאה,0.6
מכבי ש' בריאות-רמת גן,קופ”ח,0.8
מכבי ש' בריאות-רמת גן,קופח,0.5
מכבי ש' בריאות-רמת גן,ר”ג,0.7
מכבי ש' בריאות-רמת גן,ר’ גן,0.6
מכבי ש' בריאות-רמת גן,רמת גן,0.7
מכבי ש' בריאות-רמת גן,רמת-גן,0.7
מכבי ש' בריאות-רמת גן,רמ”ג,0.5
מכבי ש' בריאות-רמת גן,רג ,0.5
מכבי שירותי בריאות - דימונה-ישן,מכבי שירותי בריאות,1
מכבי שירותי בריאות - דימונה-ישן,מכבי ש’ בריאות,1
מכבי שירותי בריאות - דימונה-ישן,מכבי,0.9
מכבי שירותי בריאות - דימונה-ישן,מרפאת מכבי,1
מכבי שירותי בריאות - דימונה-ישן,מרפאה,0.6
מכבי שירותי בריאות - דימונה-ישן,קופ”ח,0.8
מכבי שירותי בריאות - דימונה-ישן,קופח,0.5
מכבי שירותי בריאות - דימונה-ישן,דימונה,0.7
מכבי שירותי בריאות - דימונה-ישן,דימןנה,0.6
מכבי שירותי בריאות- חולון-ד.ישן,מכבי שירותי בריאות,1
מכבי שירותי בריאות- חולון-ד.ישן,מכבי ש’ בריאות,1
מכבי שירותי בריאות- חולון-ד.ישן,מכבי,0.9
מכבי שירותי בריאות- חולון-ד.ישן,מרפאת מכבי,1
מכבי שירותי בריאות- חולון-ד.ישן,מרפאה,0.6
מכבי שירותי בריאות- חולון-ד.ישן,קופ”ח,0.8
מכבי שירותי בריאות- חולון-ד.ישן,קופח,0.5
מכבי שירותי בריאות- חולון-ד.ישן,חולון,0.7
מכבי שירותי בריאות-אשדוד ד'-ישן,מכבי שירותי בריאות,1
מכבי שירותי בריאות-אשדוד ד'-ישן,מכבי ש’ בריאות,1
מכבי שירותי בריאות-אשדוד ד'-ישן,מכבי,0.9
מכבי שירותי בריאות-אשדוד ד'-ישן,מרפאת מכבי,1
מכבי שירותי בריאות-אשדוד ד'-ישן,מרפאה,0.6
מכבי שירותי בריאות-אשדוד ד'-ישן,קופ”ח,0.8
מכבי שירותי בריאות-אשדוד ד'-ישן,קופח,0.5
מכבי שירותי בריאות-אשדוד ד'-ישן,אשדוד,0.5
מכבי שירותי בריאות-אשדוד ד'-ישן,אשדוד ד,0.7
מכבי שירותי בריאות-גילה-ד.ישן,מכבי שירותי בריאות,1
מכבי שירותי בריאות-גילה-ד.ישן,מכבי ש’ בריאות,1
מכבי שירותי בריאות-גילה-ד.ישן,מכבי,0.9
מכבי שירותי בריאות-גילה-ד.ישן,מרפאת מכבי,1
מכבי שירותי בריאות-גילה-ד.ישן,מרפאה,0.6
מכבי שירותי בריאות-גילה-ד.ישן,קופ”ח,0.8
מכבי שירותי בריאות-גילה-ד.ישן,קופח,0.5
מכבי שירותי בריאות-גילה-ד.ישן,גילה,0.7
מכבי שירותי בריאות-גילה-ד.ישן,גילב,0.5
מכבי שירותי בריאות-גילה-ד.ישן,גילו,0.4
